mpg,cylinders,displacement,horsepower,weight,acceleration,vehicle id
18,8,307,130,3504,12,C-1689780
15,8,350,165,3693,11.5,B-1689791
18,8,318,150,3436,11,P-1689802
16,8,304,150,3433,12,A-1689813
17,8,302,140,3449,10.5,F-1689824
15,8,429,198,4341,10,F-1689835
14,8,454,220,4354,9,C-1689846
14,8,440,215,4312,8.5,P-1689857
14,8,455,225,4425,10,P-1689868
15,8,390,190,3850,8.5,A-1689879
15,8,383,170,3563,10,D-1689890
14,8,340,160,3609,8,P-1689901
15,8,400,150,3761,9.5,C-1689912
14,8,455,225,3086,10,B-1689923
24,4,113,95,2372,15,T-1689934
22,6,198,95,2833,15.5,P-1689945
18,6,199,97,2774,15.5,A-1689956
21,6,200,85,2587,16,F-1689967
27,4,97,88,2130,14.5,D-1689978
26,4,97,46,1835,20.5,V-1689989
25,4,110,87,2672,17.5,P-1690000
24,4,107,90,2430,14.5,A-1690011
25,4,104,95,2375,17.5,S-1690022
26,4,121,113,2234,12.5,B-1690033
21,6,199,90,2648,15,A-1690044
10,8,360,215,4615,14,F-1690055
10,8,307,200,4376,15,C-1690066
11,8,318,210,4382,13.5,D-1690077
9,8,304,193,4732,18.5,H-1690088
27,4,97,88,2130,14.5,D-1690099
28,4,140,90,2264,15.5,C-1690110
25,4,113,95,2228,14,T-1690121
25,4,98,,2046,19,F-1690132
19,6,232,100,2634,13,A-1690143
16,6,225,105,3439,15.5,P-1690154
17,6,250,100,3329,15.5,C-1690165
19,6,250,88,3302,15.5,F-1690176
18,6,232,100,3288,15.5,A-1690187
14,8,350,165,4209,12,C-1690198
14,8,400,175,4464,11.5,P-1690209
14,8,351,153,4154,13.5,F-1690220
14,8,318,150,4096,13,P-1690231
12,8,383,180,4955,11.5,D-1690242
13,8,400,170,4746,12,F-1690253
13,8,400,175,5140,12,P-1690264
18,6,258,110,2962,13.5,A-1690275
22,4,140,72,2408,19,C-1690286
19,6,250,100,3282,15,P-1690297
18,6,250,88,3139,14.5,F-1690308
23,4,122,86,2220,14,M-1690319
28,4,116,90,2123,14,O-1690330
30,4,79,70,2074,19.5,P-1690341
30,4,88,76,2065,14.5,F-1690352
31,4,71,65,1773,19,T-1690363
35,4,72,69,1613,18,D-1690374
27,4,97,60,1834,19,V-1690385
26,4,91,70,1955,20.5,P-1690396
24,4,113,95,2278,15.5,T-1690407
25,4,98,80,2126,17,D-1690418
23,4,97,54,2254,23.5,V-1690429
20,4,140,90,2408,19.5,C-1690440
21,4,122,86,2226,16.5,F-1690451
13,8,350,165,4274,12,C-1690462
14,8,400,175,4385,12,P-1690473
15,8,318,150,4135,13.5,P-1690484
14,8,351,153,4129,13,F-1690495
17,8,304,150,3672,11.5,A-1690506
11,8,429,208,4633,11,M-1690517
13,8,350,155,4502,13.5,B-1690528
12,8,350,160,4456,13.5,O-1690539
13,8,400,190,4422,12.5,C-1690550
19,3,70,97,2330,13.5,M-1690561
15,8,304,150,3892,12.5,A-1690572
13,8,307,130,4098,14,C-1690583
13,8,302,140,4294,16,F-1690594
14,8,318,150,4077,14,P-1690605
18,4,121,112,2933,14.5,V-1690616
22,4,121,76,2511,18,V-1690627
21,4,120,87,2979,19.5,P-1690638
26,4,96,69,2189,18,R-1690649
22,4,122,86,2395,16,F-1690660
28,4,97,92,2288,17,D-1690671
23,4,120,97,2506,14.5,T-1690682
28,4,98,80,2164,15,D-1690693
27,4,97,88,2100,16.5,T-1690704
13,8,350,175,4100,13,B-1690715
14,8,304,150,3672,11.5,A-1690726
13,8,350,145,3988,13,C-1690737
14,8,302,137,4042,14.5,F-1690748
15,8,318,150,3777,12.5,D-1690759
12,8,429,198,4952,11.5,M-1690770
13,8,400,150,4464,12,C-1690781
13,8,351,158,4363,13,F-1690792
14,8,318,150,4237,14.5,P-1690803
13,8,440,215,4735,11,C-1690814
12,8,455,225,4951,11,B-1690825
13,8,360,175,3821,11,A-1690836
18,6,225,105,3121,16.5,P-1690847
16,6,250,100,3278,18,C-1690858
18,6,232,100,2945,16,A-1690869
18,6,250,88,3021,16.5,F-1690880
23,6,198,95,2904,16,P-1690891
26,4,97,46,1950,21,V-1690902
11,8,400,150,4997,14,C-1690913
12,8,400,167,4906,12.5,F-1690924
13,8,360,170,4654,13,P-1690935
12,8,350,180,4499,12.5,O-1690946
18,6,232,100,2789,15,A-1690957
20,4,97,88,2279,19,T-1690968
21,4,140,72,2401,19.5,C-1690979
22,4,108,94,2379,16.5,D-1690990
