year,yearcode,countryname,countrycode,prop_urbanpopulation
2020,YR2020,Afghanistan,AFG,26.026
2020,YR2020,Africa Eastern and Southern,AFE,36.8283008
2020,YR2020,Africa Western and Central,AFW,47.85783102
2020,YR2020,Albania,ALB,62.112
2020,YR2020,Algeria,DZA,73.733
2020,YR2020,American Samoa,ASM,87.153
2020,YR2020,Andorra,AND,87.916
2020,YR2020,Angola,AGO,66.825
2020,YR2020,Antigua and Barbuda,ATG,24.433
2020,YR2020,Arab World,ARB,59.08761901
2020,YR2020,Argentina,ARG,92.111
2020,YR2020,Armenia,ARM,63.313
2020,YR2020,Aruba,ABW,43.697
2020,YR2020,Australia,AUS,86.241
2020,YR2020,Austria,AUT,58.748
2020,YR2020,Azerbaijan,AZE,56.397
2020,YR2020,"Bahamas, The",BHS,83.245
2020,YR2020,Bahrain,BHR,89.506
2020,YR2020,Bangladesh,BGD,38.177
2020,YR2020,Barbados,BRB,31.191
2020,YR2020,Belarus,BLR,79.483
2020,YR2020,Belgium,BEL,98.079
2020,YR2020,Belize,BLZ,46.025
2020,YR2020,Benin,BEN,48.415
2020,YR2020,Bermuda,BMU,100
2020,YR2020,Bhutan,BTN,42.316
2020,YR2020,Bolivia,BOL,70.123
2020,YR2020,Bosnia and Herzegovina,BIH,49.02
2020,YR2020,Botswana,BWA,70.877
2020,YR2020,Brazil,BRA,87.073
2020,YR2020,British Virgin Islands,VGB,48.515
2020,YR2020,Brunei Darussalam,BRN,78.25
2020,YR2020,Bulgaria,BGR,75.686
2020,YR2020,Burkina Faso,BFA,30.607
2020,YR2020,Burundi,BDI,13.708
2020,YR2020,Cabo Verde,CPV,66.652
2020,YR2020,Cambodia,KHM,24.232
2020,YR2020,Cameroon,CMR,57.56
2020,YR2020,Canada,CAN,81.562
2020,YR2020,Caribbean small states,CSS,51.60437291
2020,YR2020,Cayman Islands,CYM,100
2020,YR2020,Central African Republic,CAF,42.198
2020,YR2020,Central Europe and the Baltics,CEB,62.56145424
2020,YR2020,Chad,TCD,23.52
2020,YR2020,Channel Islands,CHI,30.963
2020,YR2020,Chile,CHL,87.727
2020,YR2020,China,CHN,61.428
2020,YR2020,Colombia,COL,81.425
2020,YR2020,Comoros,COM,29.38
2020,YR2020,"Congo, Dem. Rep.",COD,45.638
2020,YR2020,"Congo, Rep.",COG,67.829
2020,YR2020,Costa Rica,CRI,80.771
2020,YR2020,Cote d'Ivoire,CIV,51.706
2020,YR2020,Croatia,HRV,57.553
2020,YR2020,Cuba,CUB,77.194
2020,YR2020,Curacao,CUW,89.062
2020,YR2020,Cyprus,CYP,66.821
2020,YR2020,Czechia,CZE,74.061
2020,YR2020,Denmark,DNK,88.116
2020,YR2020,Djibouti,DJI,78.062
2020,YR2020,Dominica,DMA,71.09
2020,YR2020,Dominican Republic,DOM,82.54
2020,YR2020,Early-demographic dividend,EAR,45.87273224
2020,YR2020,East Asia & Pacific,EAS,60.69872843
2020,YR2020,East Asia & Pacific (excluding high income),EAP,57.49557346
2020,YR2020,East Asia & Pacific (IDA & IBRD countries),TEA,57.43471789
2020,YR2020,Ecuador,ECU,64.166
2020,YR2020,"Egypt, Arab Rep.",EGY,42.783
2020,YR2020,El Salvador,SLV,73.444
2020,YR2020,Equatorial Guinea,GNQ,73.1
2020,YR2020,Eritrea,ERI,41.347
2020,YR2020,Estonia,EST,69.229
2020,YR2020,Eswatini,SWZ,24.171
2020,YR2020,Ethiopia,ETH,21.695
2020,YR2020,Euro area,EMU,77.46390555
2020,YR2020,Europe & Central Asia,ECS,72.60995045
2020,YR2020,Europe & Central Asia (excluding high income),ECA,67.98832188
2020,YR2020,Europe & Central Asia (IDA & IBRD countries),TEC,66.66484145
2020,YR2020,European Union,EUU,74.96054007
2020,YR2020,Faroe Islands,FRO,42.398
2020,YR2020,Fiji,FJI,57.247
2020,YR2020,Finland,FIN,85.517
2020,YR2020,Fragile and conflict affected situations,FCS,43.6440886
2020,YR2020,France,FRA,80.975
2020,YR2020,French Polynesia,PYF,61.975
2020,YR2020,Gabon,GAB,90.092
2020,YR2020,"Gambia, The",GMB,62.582
2020,YR2020,Georgia,GEO,59.453
2020,YR2020,Germany,DEU,77.453
2020,YR2020,Ghana,GHA,57.349
2020,YR2020,Gibraltar,GIB,100
2020,YR2020,Greece,GRC,79.715
2020,YR2020,Greenland,GRL,87.282
2020,YR2020,Grenada,GRD,36.537
2020,YR2020,Guam,GUM,94.938
2020,YR2020,Guatemala,GTM,51.836
2020,YR2020,Guinea,GIN,36.875
2020,YR2020,Guinea-Bissau,GNB,44.196
2020,YR2020,Guyana,GUY,26.786
2020,YR2020,Haiti,HTI,57.088
2020,YR2020,Heavily indebted poor countries (HIPC),HPC,37.02938085
2020,YR2020,High income,HIC,81.28275234
2020,YR2020,Honduras,HND,58.359
2020,YR2020,"Hong Kong SAR, China",HKG,100
2020,YR2020,Hungary,HUN,71.942
2020,YR2020,IBRD only,IBD,56.14019858
2020,YR2020,Iceland,ISL,93.898
2020,YR2020,IDA & IBRD total,IBT,51.40295454
2020,YR2020,IDA blend,IDB,43.16058765
2020,YR2020,IDA only,IDX,35.48995651
2020,YR2020,IDA total,IDA,38.06361132
2020,YR2020,India,IND,34.926
2020,YR2020,Indonesia,IDN,56.641
2020,YR2020,"Iran, Islamic Rep.",IRN,75.874
2020,YR2020,Iraq,IRQ,70.893
2020,YR2020,Ireland,IRL,63.653
2020,YR2020,Isle of Man,IMN,52.898
2020,YR2020,Israel,ISR,92.587
2020,YR2020,Italy,ITA,71.039
2020,YR2020,Jamaica,JAM,56.311
2020,YR2020,Japan,JPN,91.782
2020,YR2020,Jordan,JOR,91.418
2020,YR2020,Kazakhstan,KAZ,57.671
2020,YR2020,Kenya,KEN,27.995
2020,YR2020,Kiribati,KIR,55.594
2020,YR2020,"Korea, Dem. People's Rep.",PRK,62.381
2020,YR2020,"Korea, Rep.",KOR,81.414
2020,YR2020,Kosovo,XKX,
2020,YR2020,Kuwait,KWT,100
2020,YR2020,Kyrgyz Republic,KGZ,36.856
2020,YR2020,Lao PDR,LAO,36.29
2020,YR2020,Late-demographic dividend,LTE,64.08883654
2020,YR2020,Latin America & Caribbean,LCN,81.13456963
2020,YR2020,Latin America & Caribbean (excluding high income),LAC,80.61905918
