,mpg,cylinders,displacement,horsepower,weight,acceleration,vehicle_id,mpg_above_29
0,18.0,8,307,130,3504,12.0,C-1689780,False
1,15.0,8,350,165,3693,11.5,B-1689791,False
2,18.0,8,318,150,3436,11.0,P-1689802,False
3,16.0,8,304,150,3433,12.0,A-1689813,False
4,17.0,8,302,140,3449,10.5,F-1689824,False
5,15.0,8,429,198,4341,10.0,F-1689835,False
6,14.0,8,454,220,4354,9.0,C-1689846,False
7,14.0,8,440,215,4312,8.5,P-1689857,False
8,14.0,8,455,225,4425,10.0,P-1689868,False
9,15.0,8,390,190,3850,8.5,A-1689879,False
10,15.0,8,383,170,3563,10.0,D-1689890,False
11,14.0,8,340,160,3609,8.0,P-1689901,False
12,15.0,8,400,150,3761,9.5,C-1689912,False
13,14.0,8,455,225,3086,10.0,B-1689923,False
14,24.0,4,113,95,2372,15.0,T-1689934,False
15,22.0,6,198,95,2833,15.5,P-1689945,False
16,18.0,6,199,97,2774,15.5,A-1689956,False
17,21.0,6,200,85,2587,16.0,F-1689967,False
18,27.0,4,97,88,2130,14.5,D-1689978,False
19,26.0,4,97,46,1835,20.5,V-1689989,False
20,25.0,4,110,87,2672,17.5,P-1690000,False
21,24.0,4,107,90,2430,14.5,A-1690011,False
22,25.0,4,104,95,2375,17.5,S-1690022,False
23,26.0,4,121,113,2234,12.5,B-1690033,False
24,21.0,6,199,90,2648,15.0,A-1690044,False
25,10.0,8,360,215,4615,14.0,F-1690055,False
26,10.0,8,307,200,4376,15.0,C-1690066,False
27,11.0,8,318,210,4382,13.5,D-1690077,False
28,9.0,8,304,193,4732,18.5,H-1690088,False
29,27.0,4,97,88,2130,14.5,D-1690099,False
30,28.0,4,140,90,2264,15.5,C-1690110,False
31,25.0,4,113,95,2228,14.0,T-1690121,False
32,25.0,4,98,,2046,19.0,F-1690132,False
33,19.0,6,232,100,2634,13.0,A-1690143,False
34,16.0,6,225,105,3439,15.5,P-1690154,False
35,17.0,6,250,100,3329,15.5,C-1690165,False
36,19.0,6,250,88,3302,15.5,F-1690176,False
37,18.0,6,232,100,3288,15.5,A-1690187,False
38,14.0,8,350,165,4209,12.0,C-1690198,False
39,14.0,8,400,175,4464,11.5,P-1690209,False
40,14.0,8,351,153,4154,13.5,F-1690220,False
41,14.0,8,318,150,4096,13.0,P-1690231,False
42,12.0,8,383,180,4955,11.5,D-1690242,False
43,13.0,8,400,170,4746,12.0,F-1690253,False
44,13.0,8,400,175,5140,12.0,P-1690264,False
45,18.0,6,258,110,2962,13.5,A-1690275,False
46,22.0,4,140,72,2408,19.0,C-1690286,False
47,19.0,6,250,100,3282,15.0,P-1690297,False
48,18.0,6,250,88,3139,14.5,F-1690308,False
49,23.0,4,122,86,2220,14.0,M-1690319,False
50,28.0,4,116,90,2123,14.0,O-1690330,False
51,30.0,4,79,70,2074,19.5,P-1690341,True
52,30.0,4,88,76,2065,14.5,F-1690352,True
53,31.0,4,71,65,1773,19.0,T-1690363,True
54,35.0,4,72,69,1613,18.0,D-1690374,True
55,27.0,4,97,60,1834,19.0,V-1690385,False
56,26.0,4,91,70,1955,20.5,P-1690396,False
57,24.0,4,113,95,2278,15.5,T-1690407,False
58,25.0,4,98,80,2126,17.0,D-1690418,False
59,23.0,4,97,54,2254,23.5,V-1690429,False
60,20.0,4,140,90,2408,19.5,C-1690440,False
61,21.0,4,122,86,2226,16.5,F-1690451,False
62,13.0,8,350,165,4274,12.0,C-1690462,False
63,14.0,8,400,175,4385,12.0,P-1690473,False
64,15.0,8,318,150,4135,13.5,P-1690484,False
65,14.0,8,351,153,4129,13.0,F-1690495,False
66,17.0,8,304,150,3672,11.5,A-1690506,False
67,11.0,8,429,208,4633,11.0,M-1690517,False
68,13.0,8,350,155,4502,13.5,B-1690528,False
69,12.0,8,350,160,4456,13.5,O-1690539,False
70,13.0,8,400,190,4422,12.5,C-1690550,False
71,19.0,3,70,97,2330,13.5,M-1690561,False
72,15.0,8,304,150,3892,12.5,A-1690572,False
73,13.0,8,307,130,4098,14.0,C-1690583,False
74,13.0,8,302,140,4294,16.0,F-1690594,False
75,14.0,8,318,150,4077,14.0,P-1690605,False
76,18.0,4,121,112,2933,14.5,V-1690616,False
77,22.0,4,121,76,2511,18.0,V-1690627,False
78,21.0,4,120,87,2979,19.5,P-1690638,False
79,26.0,4,96,69,2189,18.0,R-1690649,False
80,22.0,4,122,86,2395,16.0,F-1690660,False
81,28.0,4,97,92,2288,17.0,D-1690671,False
82,23.0,4,120,97,2506,14.5,T-1690682,False
83,28.0,4,98,80,2164,15.0,D-1690693,False
84,27.0,4,97,88,2100,16.5,T-1690704,False
85,13.0,8,350,175,4100,13.0,B-1690715,False
86,14.0,8,304,150,3672,11.5,A-1690726,False
87,13.0,8,350,145,3988,13.0,C-1690737,False
88,14.0,8,302,137,4042,14.5,F-1690748,False
89,15.0,8,318,150,3777,12.5,D-1690759,False
90,12.0,8,429,198,4952,11.5,M-1690770,False
91,13.0,8,400,150,4464,12.0,C-1690781,False
92,13.0,8,351,158,4363,13.0,F-1690792,False
93,14.0,8,318,150,4237,14.5,P-1690803,False
94,13.0,8,440,215,4735,11.0,C-1690814,False
