Congress,bill_number,bill_type,action,main_action,object,member_id
116,1029,s,S.Amdt.1274 Amendment SA 1274 proposed by Senator McConnell for Senator Cornyn. (consideration: CR S7233 ; text: CR S7233 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,1031,s,S.Amdt.2698 Amendment SA 2698 proposed by Senator Hawley. (consideration: CR S7394-7395 ; text: CR S7394-7395 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,675
116,1160,s,S.Amdt.2659 Amendment SA 2659 proposed by Senator McConnell for Senator Smith. (consideration: CR S5717 ; text: CR S5717 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,1199,s,"Committee on Health, Education, Labor, and Pensions. Reported by Senator Alexander with an amendment in the nature of a substitute. Without written report.",senate committee/subcommittee actions,senate bill,1561
116,1208,s,Committee on the Judiciary. Reported by Senator Graham with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,1580
116,1231,s,Committee on the Judiciary. Reported by Senator Graham with amendments. Without written report.,senate committee/subcommittee actions,senate bill,1580
116,1228,s,"Committee on Commerce, Science, and Transportation. Reported by Senator Wicker without amendment. With written report No. 116-178 .",senate committee/subcommittee actions,senate bill,1002
116,123,s,Committee on Veterans' Affairs. Reported by Senator Moran without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1490
116,1253,s,S.Amdt.2424 Amendment SA 2424 proposed by Senator Feinstein for Senator Cornyn. (consideration: CR S4174-4175 ; text: CR S4174-4175 ) To require the National Institutes of Health to conduct a study and report on the short-term and long-term health impacts of e-cigarette use by youth and young adults under 21 years of age.,senate amendment proposed (on the floor),amendment,297
116,1272,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1701
116,1275,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with amendments. With written report No. 116-46 .,senate committee/subcommittee actions,senate bill,1701
116,1309,s,S.Amdt.1275 Amendment SA 1275 proposed by Senator McConnell for Senator Cardin. (consideration: CR S7236 ; text: CR S7220-7221 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,1309,s,Committee on Foreign Relations. Reported by Senator Risch with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,505
116,1328,s,Committee on the Judiciary. Reported by Senator Graham without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1580
116,1340,s,S.Amdt.940 Amendment SA 940 proposed by Senator Rubio for Senator Menendez. (consideration: CR S5633 ; text: CR S5633 ) To modify the authority to provide assistance.,senate amendment proposed (on the floor),amendment,756
116,1340,s,Committee on Foreign Relations. Reported by Senator Risch with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,505
116,1388,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-87 .,senate committee/subcommittee actions,senate bill,1701
116,1387,s,S.Amdt.2710 Amendment SA 2710 proposed by Senator Moran for Senator Braun. (consideration: CR S7557 ; text: CR S7554-7555 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,1490
116,1434,s,S.Amdt.1269 Amendment SA 1269 proposed by Senator McConnell for Senator Portman. (consideration: CR S7229 ; text: CR S7229 ) To modify the definition of reverse auction to cover the awarding of contracts and orders that are based solely on the price obtained through the auction process.,senate amendment proposed (on the floor),amendment,858
116,1434,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-100 .,senate committee/subcommittee actions,senate bill,1701
116,1430,s,S.Amdt.1251 Amendment SA 1251 proposed by Senator Fischer for Senator Lankford. (consideration: CR S6766 ; text: CR S6766 ) To make certain corrections.,senate amendment proposed (on the floor),amendment,276
116,1430,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with amendments. With written report No. 116-56 .,senate committee/subcommittee actions,senate bill,1701
116,149,s,"Committee on Commerce, Science, and Transportation. Reported by Senator Wicker with an amendment in the nature of a substitute. With written report No. 116-182 .",senate committee/subcommittee actions,senate bill,1002
