,date_str,sp500,djia,date_ex1,date_ex2,date_ex3
38,2018-05-28,,,May 28 2018,"Monday, 2018-05-28","May-28, 18"
39,2018-05-29,2689.86,24361.45,May 29 2018,"Tuesday, 2018-05-29","May-29, 18"
40,2018-05-30,2724.01,24667.78,May 30 2018,"Wednesday, 2018-05-30","May-30, 18"
41,2018-05-31,2705.27,24415.84,May 31 2018,"Thursday, 2018-05-31","May-31, 18"
42,2018-06-01,2734.62,24635.21,June 01 2018,"Friday, 2018-06-01","Jun-01, 18"
43,2018-06-04,2746.87,24813.69,June 04 2018,"Monday, 2018-06-04","Jun-04, 18"
44,2018-06-05,2748.8,24799.98,June 05 2018,"Tuesday, 2018-06-05","Jun-05, 18"
45,2018-06-06,2772.35,25146.39,June 06 2018,"Wednesday, 2018-06-06","Jun-06, 18"
46,2018-06-07,2770.37,25241.41,June 07 2018,"Thursday, 2018-06-07","Jun-07, 18"
47,2018-06-08,2779.03,25316.53,June 08 2018,"Friday, 2018-06-08","Jun-08, 18"
48,2018-06-11,2782.0,25322.31,June 11 2018,"Monday, 2018-06-11","Jun-11, 18"
49,2018-06-12,2786.85,25320.73,June 12 2018,"Tuesday, 2018-06-12","Jun-12, 18"
50,2018-06-13,2775.63,25201.2,June 13 2018,"Wednesday, 2018-06-13","Jun-13, 18"
51,2018-06-14,2782.49,25175.31,June 14 2018,"Thursday, 2018-06-14","Jun-14, 18"
52,2018-06-15,2779.66,25090.48,June 15 2018,"Friday, 2018-06-15","Jun-15, 18"
53,2018-06-18,2773.75,24987.47,June 18 2018,"Monday, 2018-06-18","Jun-18, 18"
54,2018-06-19,2762.59,24700.21,June 19 2018,"Tuesday, 2018-06-19","Jun-19, 18"
55,2018-06-20,2767.32,24657.8,June 20 2018,"Wednesday, 2018-06-20","Jun-20, 18"
56,2018-06-21,2749.76,24461.7,June 21 2018,"Thursday, 2018-06-21","Jun-21, 18"
57,2018-06-22,2754.88,24580.89,June 22 2018,"Friday, 2018-06-22","Jun-22, 18"
58,2018-06-25,2717.07,24252.8,June 25 2018,"Monday, 2018-06-25","Jun-25, 18"
59,2018-06-26,2723.06,24283.11,June 26 2018,"Tuesday, 2018-06-26","Jun-26, 18"
60,2018-06-27,2699.63,24117.59,June 27 2018,"Wednesday, 2018-06-27","Jun-27, 18"
61,2018-06-28,2716.31,24216.05,June 28 2018,"Thursday, 2018-06-28","Jun-28, 18"
62,2018-06-29,2718.37,24271.41,June 29 2018,"Friday, 2018-06-29","Jun-29, 18"
63,2018-07-02,2726.71,24307.18,July 02 2018,"Monday, 2018-07-02","Jul-02, 18"
64,2018-07-03,2713.22,24174.82,July 03 2018,"Tuesday, 2018-07-03","Jul-03, 18"
65,2018-07-04,,,July 04 2018,"Wednesday, 2018-07-04","Jul-04, 18"
66,2018-07-05,2736.61,24356.74,July 05 2018,"Thursday, 2018-07-05","Jul-05, 18"
67,2018-07-06,2759.82,24456.48,July 06 2018,"Friday, 2018-07-06","Jul-06, 18"
68,2018-07-09,2784.17,24776.59,July 09 2018,"Monday, 2018-07-09","Jul-09, 18"
69,2018-07-10,2793.84,24919.66,July 10 2018,"Tuesday, 2018-07-10","Jul-10, 18"
70,2018-07-11,2774.02,24700.45,July 11 2018,"Wednesday, 2018-07-11","Jul-11, 18"
71,2018-07-12,2798.29,24924.89,July 12 2018,"Thursday, 2018-07-12","Jul-12, 18"
72,2018-07-13,2801.31,25019.41,July 13 2018,"Friday, 2018-07-13","Jul-13, 18"
73,2018-07-16,2798.43,25064.36,July 16 2018,"Monday, 2018-07-16","Jul-16, 18"
74,2018-07-17,2809.55,25119.89,July 17 2018,"Tuesday, 2018-07-17","Jul-17, 18"
75,2018-07-18,2815.62,25199.29,July 18 2018,"Wednesday, 2018-07-18","Jul-18, 18"
76,2018-07-19,2804.49,25064.5,July 19 2018,"Thursday, 2018-07-19","Jul-19, 18"
77,2018-07-20,2801.83,25058.12,July 20 2018,"Friday, 2018-07-20","Jul-20, 18"
78,2018-07-23,2806.98,25044.29,July 23 2018,"Monday, 2018-07-23","Jul-23, 18"
79,2018-07-24,2820.4,25241.94,July 24 2018,"Tuesday, 2018-07-24","Jul-24, 18"
80,2018-07-25,2846.07,25414.1,July 25 2018,"Wednesday, 2018-07-25","Jul-25, 18"
81,2018-07-26,2837.44,25527.07,July 26 2018,"Thursday, 2018-07-26","Jul-26, 18"
82,2018-07-27,2818.82,25451.06,July 27 2018,"Friday, 2018-07-27","Jul-27, 18"
83,2018-07-30,2802.6,25306.83,July 30 2018,"Monday, 2018-07-30","Jul-30, 18"
84,2018-07-31,2816.29,25415.19,July 31 2018,"Tuesday, 2018-07-31","Jul-31, 18"
