member_id,full_name,last_name,member_title,state,party_name,chamber
0,A. Donald McEachin,McEachin,Representative,Virginia,Democratic,House
1,Aaron Schock,Schock,Representative,Illinois,Republican,House
2,Abby Finkenauer,Finkenauer,Representative,Iowa,Democratic,House
3,Abigail Davis Spanberger,Spanberger,Representative,Virginia,Democratic,House
4,Adam H. Putnam,Putnam,Representative,Florida,Republican,House
5,Adam Kinzinger,Kinzinger,Representative,Illinois,Republican,House
6,Adriano Espaillat,Espaillat,Representative,New York,Democratic,House
7,Al Franken,Franken,Senator,Minnesota,Democratic,Senate
8,Al Swift,Swift,Representative,Washington,Democratic,House
9,"Al, Jr. Lawson",Lawson,Representative,Florida,Democratic,House
10,Alan B. Mollohan,Mollohan,Representative,West Virginia,Democratic,House
11,Alan Cranston,Cranston,Senator,California,Democratic,Senate
12,Alan Grayson,Grayson,Representative,Florida,Democratic,House
13,Alan Nunnelee,Nunnelee,Representative,Mississippi,Republican,House
14,Alan S. Lowenthal,Lowenthal,Representative,California,Democratic,House
15,Alan Wheat,Wheat,Representative,Missouri,Democratic,House
16,Albert G. Bustamante,Bustamante,Representative,Texas,Democratic,House
17,Albert Russell Wynn,Wynn,Representative,Maryland,Democratic,House
18,"Albert, Jr. Gore",Gore,Senator,Tennessee,Democratic,Senate
19,Albio Sires,Sires,Representative,New Jersey,Democratic,House
20,Alexander X. Mooney,Mooney,Representative,West Virginia,Republican,House
21,Alexandria Ocasio-Cortez,Ocasio-Cortez,Representative,New York,Democratic,House
22,Alfonse D'Amato,D'Amato,Senator,New York,Republican,Senate
23,Alfred A. (Al) McCandless,McCandless,Representative,California,Republican,House
24,Allen B. West,West,Representative,Florida,Republican,House
25,Allen Boyd,Boyd,Representative,Florida,Democratic,House
26,Allyson Y. Schwartz,Schwartz,Representative,Pennsylvania,Democratic,House
27,Ami Bera,Bera,Representative,California,Democratic,House
28,Amo Houghton,Houghton,Representative,New York,Republican,House
29,Amy Klobuchar,Klobuchar,Senator,Minnesota,Democratic,Senate
30,Andrea H. Seastrand,Seastrand,Representative,California,Republican,House
31,Andrew P. Ireland,Ireland,Representative,Florida,Republican,House
32,Andy Biggs,Biggs,Representative,Arizona,Republican,House
33,"Anh ""Joseph"" Cao",Cao,Representative,Louisiana,Republican,House
34,Anibal Acevedo-Vila,Acevedo-Vila,Resident Commissioner,Puerto Rico,Democratic,House
35,Ann Kirkpatrick,Kirkpatrick,Representative,Arizona,Democratic,House
36,Ann M. Kuster,Kuster,Representative,New Hampshire,Democratic,House
37,Ann Marie Buerkle,Buerkle,Representative,New York,Republican,House
38,Ann Wagner,Wagner,Representative,Missouri,Republican,House
39,Anna G. Eshoo,Eshoo,Representative,California,Democratic,House
40,Anne M. Northup,Northup,Representative,Kentucky,Republican,House
41,Anthony Brindisi,Brindisi,Representative,New York,Democratic,House
42,Anthony C. Beilenson,Beilenson,Representative,California,Democratic,House
43,Anthony D. Weiner,Weiner,Representative,New York,Democratic,House
44,Anthony Lee Coelho,Coelho,Representative,California,Democratic,House
45,Antonio Colorado,Colorado,Resident Commissioner,Puerto Rico,Democratic,House
46,Antonio Delgado,Delgado,Representative,New York,Democratic,House
47,Arlan Stangeland,Stangeland,Representative,Minnesota,Republican,House
48,Arlen Specter,Specter,Senator,Pennsylvania,Democratic,Senate
49,"Arthur, Jr. Ravenel",Ravenel,Representative,South Carolina,Republican,House
50,Augustus F. Hawkins,Hawkins,Representative,California,Democratic,House
51,Aumua Amata Coleman Radewagen,Radewagen,Delegate,American Samoa,Republican,House
52,Ayanna Pressley,Pressley,Representative,Massachusetts,Democratic,House
53,Barack Obama,Obama,Senator,Illinois,Democratic,Senate
54,Barbara A. Mikulski,Mikulski,Senator,Maryland,Democratic,Senate
55,Barbara B. Kennelly,Kennelly,Representative,Connecticut,Democratic,House
56,Barbara Boxer,Boxer,Senator,California,Democratic,Senate
57,Barbara Comstock,Comstock,Representative,Virginia,Republican,House
58,Barbara Cubin,Cubin,Representative,Wyoming,Republican,House
59,Barbara F. Vucanovich,Vucanovich,Representative,Nevada,Republican,House
60,Barney Frank,Frank,Representative,Massachusetts,Democratic,House
61,Barry Loudermilk,Loudermilk,Representative,Georgia,Republican,House
62,Bart Gordon,Gordon,Representative,Tennessee,Democratic,House
63,Bart Stupak,Stupak,Representative,Michigan,Democratic,House
64,Beau Boulter,Boulter,Representative,Texas,Republican,House
65,Ben Cline,Cline,Representative,Virginia,Republican,House
66,Ben Erdreich,Erdreich,Representative,Alabama,Democratic,House
67,Ben G. Blaz,Blaz,Delegate,Guam,Republican,House
68,Ben McAdams,McAdams,Representative,Utah,Democratic,House
69,Ben Sasse,Sasse,Senator,Nebraska,Republican,Senate
70,Benjamin A. Gilman,Gilman,Representative,New York,Republican,House
71,Benjamin L. Cardin,Cardin,Senator,Maryland,Democratic,Senate
72,Bernard J. Dwyer,Dwyer,Representative,New Jersey,Democratic,House
73,Bernard Sanders,Sanders,Senator,Vermont,Independent,Senate
74,"Beryl, Jr. Anthony",Anthony,Representative,Arkansas,Democratic,House
75,Beto O'Rourke,O'Rourke,Representative,Texas,Democratic,House
76,Betty Sutton,Sutton,Representative,Ohio,Democratic,House
77,Beverly B. Byron,Byron,Representative,Maryland,Democratic,House
78,Bill Archer,Archer,Representative,Texas,Republican,House
79,Bill Cassidy,Cassidy,Senator,Louisiana,Republican,Senate
80,Bill Delahunt,Delahunt,Representative,Massachusetts,Democratic,House
81,Bill Flores,Flores,Representative,Texas,Republican,House
82,Bill Foster,Foster,Representative,Illinois,Democratic,House
83,Bill Frenzel,Frenzel,Representative,Minnesota,Republican,House
84,Bill Grant,Grant,Representative,Florida,Republican,House
85,Bill Huizenga,Huizenga,Representative,Michigan,Republican,House
86,Bill K. Brewster,Brewster,Representative,Oklahoma,Democratic,House
87,Bill Lowery,Lowery,Representative,California,Republican,House
88,Bill Luther,Luther,Representative,Minnesota,Democratic,House
89,Bill Orton,Orton,Representative,Utah,Democratic,House
90,Bill Paxon,Paxon,Representative,New York,Republican,House
91,Bill Posey,Posey,Representative,Florida,Republican,House
92,Bill Redmond,Redmond,Representative,New Mexico,Republican,House
93,Bill Sali,Sali,Representative,Idaho,Republican,House
94,Bill Sarpalius,Sarpalius,Representative,Texas,Democratic,House
95,Bill Schuette,Schuette,Representative,Michigan,Republican,House
96,"Bill, Jr. Chappell",Chappell,Representative,Florida,Democratic,House
97,"Bill, Jr. Pascrell",Pascrell,Representative,New Jersey,Democratic,House
98,Blaine Luetkemeyer,Luetkemeyer,Representative,Missouri,Republican,House
99,Blake Farenthold,Farenthold,Representative,Texas,Republican,House
100,Blanche L. Lincoln,Lincoln,Senator,Arkansas,Democratic,Senate
101,Bob Beauprez,Beauprez,Representative,Colorado,Republican,House
102,Bob Carr,Carr,Representative,Michigan,Democratic,House
103,Bob Clement,Clement,Representative,Tennessee,Democratic,House
104,Bob Corker,Corker,Senator,Tennessee,Republican,Senate
105,Bob Etheridge,Etheridge,Representative,North Carolina,Democratic,House
106,Bob Filner,Filner,Representative,California,Democratic,House
107,Bob Gibbs,Gibbs,Representative,Ohio,Republican,House
108,Bob Goodlatte,Goodlatte,Representative,Virginia,Republican,House
109,Bob Inglis,Inglis,Representative,South Carolina,Republican,House
110,Bob Livingston,Livingston,Representative,Louisiana,Republican,House
111,Bob McEwen,McEwen,Representative,Ohio,Republican,House
112,Bob Packwood,Packwood,Senator,Oregon,Republican,Senate
113,Bob Riley,Riley,Representative,Alabama,Republican,House
114,Bob Schaffer,Schaffer,Representative,Colorado,Republican,House
115,Bob Stump,Stump,Representative,Arizona,Republican,House
116,Bob Traxler,Traxler,Representative,Michigan,Democratic,House
117,Bob Whittaker,Whittaker,Representative,Kansas,Republican,House
118,Bobby Bright,Bright,Representative,Alabama,Democratic,House
119,Bobby Jindal,Jindal,Representative,Louisiana,Republican,House
120,Bobby L. Rush,Rush,Representative,Illinois,Democratic,House
121,Bonnie Watson Coleman,Watson Coleman,Representative,New Jersey,Democratic,House
122,Brad Ashford,Ashford,Representative,Nebraska,Democratic,House
123,Brad Ellsworth,Ellsworth,Representative,Indiana,Democratic,House
124,Brad R. Wenstrup,Wenstrup,Representative,Ohio,Republican,House
125,Brad Sherman,Sherman,Representative,California,Democratic,House
126,Brenda L. Lawrence,Lawrence,Representative,Michigan,Democratic,House
127,Brendan F. Boyle,Boyle,Representative,Pennsylvania,Democratic,House
128,Brett Guthrie,Guthrie,Representative,Kentucky,Republican,House
129,Brian Babin,Babin,Representative,Texas,Republican,House
130,Brian D. Kerns,Kerns,Representative,Indiana,Republican,House
131,Brian J. Mast,Mast,Representative,Florida,Republican,House
132,Brian Schatz,Schatz,Senator,Hawaii,Democratic,Senate
133,Bruce F. Vento,Vento,Representative,Minnesota,Democratic,House
134,Bruce L. Braley,Braley,Representative,Iowa,Democratic,House
135,Bruce Poliquin,Poliquin,Representative,Maine,Republican,House
136,Bruce Westerman,Westerman,Representative,Arkansas,Republican,House
137,Bryan Steil,Steil,Representative,Wisconsin,Republican,House
138,Buddy MacKay,MacKay,Representative,Florida,Democratic,House
139,Butler C. Derrick,Derrick,Representative,South Carolina,Democratic,House
140,Byron L. Dorgan,Dorgan,Senator,North Dakota,Democratic,Senate
141,C. A. Dutch Ruppersberger,Ruppersberger,Representative,Maryland,Democratic,House
142,C. L. (Butch) Otter,Otter,Representative,Idaho,Republican,House
143,Calvin M. Dooley,Dooley,Representative,California,Democratic,House
144,Carl C. Perkins,Perkins,Representative,Kentucky,Democratic,House
145,Carl D. Pursell,Pursell,Representative,Michigan,Republican,House
146,Carlos A. Romero-Barcelo,Romero-Barcelo,Resident Commissioner,Puerto Rico,Democratic,House
147,Carlos Curbelo,Curbelo,Representative,Florida,Republican,House
148,Carlos J. Moorhead,Moorhead,Representative,California,Republican,House
149,Carol Moseley-Braun,Moseley-Braun,Senator,Illinois,Democratic,Senate
150,Carol Shea-Porter,Shea-Porter,Representative,New Hampshire,Democratic,House
151,Carolyn C. Kilpatrick,Kilpatrick,Representative,Michigan,Democratic,House
152,"Carroll, Jr. Hubbard",Hubbard,Representative,Kentucky,Democratic,House
153,Carte Patrick Goodwin,Goodwin,Senator,West Virginia,Democratic,Senate
154,Cass Ballenger,Ballenger,Representative,North Carolina,Republican,House
155,Catherine Cortez Masto,Cortez Masto,Senator,Nevada,Democratic,Senate
156,Cathy McMorris Rodgers,McMorris Rodgers,Representative,Washington,Republican,House
157,Cedric L. Richmond,Richmond,Representative,Louisiana,Democratic,House
158,Chaka Fattah,Fattah,Representative,Pennsylvania,Democratic,House
159,Chalmers P. Wylie,Wylie,Representative,Ohio,Republican,House
160,Charles B. Rangel,Rangel,Representative,New York,Democratic,House
161,Charles E. Schumer,Schumer,Senator,New York,Democratic,Senate
162,Charles Hatcher,Hatcher,Representative,Georgia,Democratic,House
163,"Charles J. ""Chuck"" Fleischmann",Fleischmann,Representative,Tennessee,Republican,House
164,Charles K. Djou,Djou,Representative,Hawaii,Republican,House
165,Charles S. Robb,Robb,Senator,Virginia,Democratic,Senate
166,Charles T. Canady,Canady,Representative,Florida,Republican,House
167,"Charles W. ""Chip"" Pickering",Pickering,Representative,Mississippi,Republican,House
168,Charles W. Dent,Dent,Representative,Pennsylvania,Republican,House
169,Charles W. Norwood,Norwood,Representative,Georgia,Republican,House
170,Charles W. Stenholm,Stenholm,Representative,Texas,Democratic,House
171,"Charles W., Jr. Boustany",Boustany,Representative,Louisiana,Republican,House
172,"Charles, Jr. Pashayan",Pashayan,Representative,California,Republican,House
