,Unnamed: 0,date_str,sp500,djia,date_ex1,date_ex2,date_ex3,date,diff_sp500,lag_sp500,growth_sp500,diff_date,count_days,diff_djia,lag_djia,growth_djia
0,0,2018-04-04,2644.69,24264.3,April 04 2018,"Wednesday, 2018-04-04","Apr-04, 18",2018-04-04,,,,,,,,
1,1,2018-04-05,2662.84,24505.22,April 05 2018,"Thursday, 2018-04-05","Apr-05, 18",2018-04-05,18.15000000000009,2644.69,0.6862808117397536,1 days,1.0,240.9200000000019,24264.3,0.9928990327353433
2,2,2018-04-06,2604.47,23932.76,April 06 2018,"Friday, 2018-04-06","Apr-06, 18",2018-04-06,-58.370000000000346,2662.84,-2.1920205494885288,1 days,1.0,-572.4600000000028,24505.22,-2.3360737018480258
3,3,2018-04-09,2613.16,23979.1,April 09 2018,"Monday, 2018-04-09","Apr-09, 18",2018-04-09,8.690000000000055,2604.47,0.33365713561684546,3 days,3.0,46.340000000000146,23932.76,0.19362580830627202
4,4,2018-04-10,2656.87,24408.0,April 10 2018,"Tuesday, 2018-04-10","Apr-10, 18",2018-04-10,43.710000000000036,2613.16,1.6726874741692066,1 days,1.0,428.90000000000146,23979.1,1.7886409414865507
5,5,2018-04-11,2642.19,24189.45,April 11 2018,"Wednesday, 2018-04-11","Apr-11, 18",2018-04-11,-14.679999999999836,2656.87,-0.5525298565605331,1 days,1.0,-218.54999999999927,24408.0,-0.8954031465093382
6,6,2018-04-12,2663.99,24483.05,April 12 2018,"Thursday, 2018-04-12","Apr-12, 18",2018-04-12,21.799999999999727,2642.19,0.8250731400845407,1 days,1.0,293.59999999999854,24189.45,1.2137522763022661
7,7,2018-04-13,2656.3,24360.14,April 13 2018,"Friday, 2018-04-13","Apr-13, 18",2018-04-13,-7.6899999999996,2663.99,-0.2886647472400272,1 days,1.0,-122.90999999999985,24483.05,-0.502020785808957
8,8,2018-04-16,2677.84,24573.04,April 16 2018,"Monday, 2018-04-16","Apr-16, 18",2018-04-16,21.539999999999964,2656.3,0.8109023830139653,3 days,3.0,212.90000000000146,24360.14,0.8739687046133621
9,9,2018-04-17,2706.39,24786.63,April 17 2018,"Tuesday, 2018-04-17","Apr-17, 18",2018-04-17,28.549999999999727,2677.84,1.0661577988229216,1 days,1.0,213.59000000000015,24573.04,0.869204624254875
10,10,2018-04-18,2708.64,24748.07,April 18 2018,"Wednesday, 2018-04-18","Apr-18, 18",2018-04-18,2.25,2706.39,0.083136576768315,1 days,1.0,-38.56000000000131,24786.63,-0.15556773954346076
11,11,2018-04-19,2693.13,24664.89,April 19 2018,"Thursday, 2018-04-19","Apr-19, 18",2018-04-19,-15.509999999999764,2708.64,-0.5726120857699718,1 days,1.0,-83.18000000000029,24748.07,-0.33610701763814427
12,12,2018-04-20,2670.14,24462.94,April 20 2018,"Friday, 2018-04-20","Apr-20, 18",2018-04-20,-22.990000000000236,2693.13,-0.8536535555283346,1 days,1.0,-201.95000000000073,24664.89,-0.8187751901589698
13,13,2018-04-23,2670.29,24448.69,April 23 2018,"Monday, 2018-04-23","Apr-23, 18",2018-04-23,0.15000000000009095,2670.14,0.005617682967937672,3 days,3.0,-14.25,24462.94,-0.05825137943354315
14,14,2018-04-24,2634.56,24024.13,April 24 2018,"Tuesday, 2018-04-24","Apr-24, 18",2018-04-24,-35.73000000000002,2670.29,-1.3380569151665183,1 days,1.0,-424.5599999999977,24448.69,-1.736534759122054
15,15,2018-04-25,2639.4,24083.83,April 25 2018,"Wednesday, 2018-04-25","Apr-25, 18",2018-04-25,4.8400000000001455,2634.56,0.1837118911696885,1 days,1.0,59.70000000000073,24024.13,0.24850015380369955
16,16,2018-04-26,2666.94,24322.34,April 26 2018,"Thursday, 2018-04-26","Apr-26, 18",2018-04-26,27.539999999999964,2639.4,1.0434189588542837,1 days,1.0,238.5099999999984,24083.83,0.9903325177100086
17,17,2018-04-27,2669.91,24311.19,April 27 2018,"Friday, 2018-04-27","Apr-27, 18",2018-04-27,2.9699999999998,2666.94,0.11136358523250617,1 days,1.0,-11.150000000001455,24322.34,-0.04584262862866589
18,18,2018-04-30,2648.05,24163.15,April 30 2018,"Monday, 2018-04-30","Apr-30, 18",2018-04-30,-21.859999999999673,2669.91,-0.8187541902161374,3 days,3.0,-148.03999999999724,24311.19,-0.6089376949462254
19,19,2018-05-01,2654.8,24099.05,May 01 2018,"Tuesday, 2018-05-01","May-01, 18",2018-05-01,6.75,2648.05,0.2549045524064878,1 days,1.0,-64.10000000000218,24163.15,-0.2652799821215453
20,20,2018-05-02,2635.67,23924.98,May 02 2018,"Wednesday, 2018-05-02","May-02, 18",2018-05-02,-19.13000000000011,2654.8,-0.7205815880669018,1 days,1.0,-174.0699999999997,24099.05,-0.722310630502031
21,21,2018-05-03,2629.73,23930.15,May 03 2018,"Thursday, 2018-05-03","May-03, 18",2018-05-03,-5.940000000000055,2635.67,-0.2253696403571029,1 days,1.0,5.170000000001892,23924.98,0.02160921346643505
22,22,2018-05-04,2663.42,24262.51,May 04 2018,"Friday, 2018-05-04","May-04, 18",2018-05-04,33.690000000000055,2629.73,1.281120114992796,1 days,1.0,332.35999999999694,23930.15,1.3888755398524326
